Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Cayman Islands,CYM,0,0,0,0,0,0,30190.6686767543,0,0,0,0,0,0,0,0,0,64104.7515979462,0,0,0,0,0,0,0,0
Cyprus,CYP,9641.5752730129,9696.0995933236,11310.0719239521,10526.1417696747,11617.6927784249,15233.3416795295,15105.2100647242,14169.720197273,15035.9052474871,15208.7724566759,14307.3535347433,14723.2104665853,15988.2750382377,20110.1201722943,23578.4293524547,24738.009385173,26455.1323679197,30915.4863902681,34950.3512981385,31673.4577102038,30438.9001948061,31836.6195112171,28868.2738161645,27910.6198333772,27194.3918374826
Czech Republic,CZE,3901.5254371615,2867.2294252582,3338.655157617,3916.051656017,4583.5844993381,5765.048439358,6473.4354520108,5980.2583043072,6447.4635390782,6293.3043871199,5994.5282768654,6594.7174650938,8011.8980737802,9741.0583837682,11667.6321201205,13317.7298342014,15159.1411456575,18333.9459002641,22649.3793400813,19698.4920909142,19763.9637984737,21656.9414181786,19640.9286597038,19813.8715746383,19502.4173306083
Germany,DEU,22219.5725271486,23269.3817972445,26333.537444515,25488.5195189314,27087.5584535617,31729.6997633451,30564.2478058387,27045.7191273318,27340.6728848884,26795.9911316814,23718.746699471,23687.3168928198,25205.164445175,30359.9521525666,34165.9340305131,34696.62091671,36447.8723183195,41814.8190965222,45699.1983232962,41732.707253158,41788.0447853084,45936.0812598523,44010.9313869814,45600.7745095204,47773.9441928693
Djibouti,DJI,768.8000207223,757.2259706422,762.376834339,729.0950137745,756.5869605447,752.8997582576,733.8133988526,733.1436459755,736.5033301551,754.3497353097,762.8838243037,779.7667865708,792.9638512667,822.0970500664,867.6835900203,910.3645073735,974.5642374181,1060.8149402897,1234.0133556656,1279.2519479097,1358.4605000491,1472.0142049737,1586.7801332843,1683.4299228371,1813.5965663026
Dominica,DMA,2344.944440628,2546.7830717498,2701.6717274743,2814.6691240643,3018.8204821795,3139.2244746227,3323.3694131601,3473.6485547632,3676.5166253149,3830.2299792891,4819.8999538392,4925.6296915111,4837.6319338856,4997.1625801392,5329.1357961291,5250.3525611745,5522.2856184803,5953.5487178682,6463.6242173241,6891.4607966654,6937.2560836301,7023.353428216,6768.2944156404,7036.5483878434,7244.4958470864
Denmark,DNK,26861.7995866878,26960.9770963882,29526.1666015122,27553.1220287366,29992.2214710745,35351.3807065346,35650.7243420099,32835.9287666102,33368.1548509045,33440.8016200638,30743.5591735847,30751.6494603843,33228.6929087101,40458.7706402839,46487.5149113562,48816.8358639645,52041.0029728889,58501.1383160235,64181.9946654657,57895.5012246202,57647.668762065,61304.0612046553,57636.1253095393,59818.6315281878,60718.3926958809
Dominican Republic,DOM,984.6914395732,1327.4506935178,1510.0220752273,1704.8506969028,1871.6674311787,2072.6844395041,2258.2582587105,2400.1933770533,2551.9077890508,2575.5638814459,2802.424044068,2862.1630796842,3008.469047675,2372.6297718758,2421.093882172,3681.0654146785,3836.4756486028,4637.2399594497,4996.9426633604,4933.9430497389,5441.9657487917,5820.396299626,5967.0009840552,5968.6694756393,6163.5758566516
Algeria,DZA,2394.4206084226,1721.5820670659,1766.0659189259,1797.5418035855,1499.9840915927,1444.9079361161,1596.0068590016,1611.9619475101,1588.421338282,1580.95756935,1757.0119744415,1732.9585173545,1774.2920207991,2094.893302133,2600.0065197256,3102.0373842267,3467.544740086,3939.5599393981,4912.25194082,3875.8220954243,4473.4864456812,5447.4039755657,5583.6161595013,5491.6144135648,5484.0668056148
East Asia & Pacific (developing only),EAP,418.0555398702,448.6255296618,494.7927684767,528.9308053152,628.2072930018,765.7360997845,868.8751244136,889.0556621396,805.2682391577,876.1589919725,955.565056002,1008.3724103122,1105.9075800253,1239.224286776,1425.3027328466,1634.4586656691,1951.102125116,2448.7822563785,3073.2558902398,3306.3296882843,3980.0688153839,4828.4648551095,5346.7133753975,5846.7964830392,6240.4071477738
East Asia & Pacific (all income levels),EAS,2591.0483251892,2878.1550255788,3100.6300252245,3430.7559716072,3781.7138831785,4219.5308139722,4010.6256887034,3809.1423771021,3359.5296718249,3713.6321122312,3971.1267326523,3661.7490250819,3693.2959786654,4028.7250544095,4483.9282878698,4738.7042912997,4995.2963089359,5561.509737802,6370.1845703851,6513.6708503117,7550.8780563277,8685.0824595397,9239.3133886769,9273.3620745123,9482.0797327263
Europe & Central Asia (developing only),ECA,1728.0653014848,1591.2305291232,1524.7006370054,1565.0530282948,1276.4767576295,1465.1398316598,1518.2216951697,1597.1094099077,1915.8923618617,1733.6928526467,1756.3550980833,1553.8275393588,1793.0037287276,2276.2374437383,2905.9612781933,3600.7216813274,4198.3440198423,5326.8584338833,6358.2277132125,5265.6707079914,5963.3841517104,6633.3998537156,6738.0065066515,7183.4953526671,6895.6690382066
Europe & Central Asia (all income levels),ECS,10481.582916308,10777.0189071426,11511.2027836052,10541.7062828247,11000.7486297389,12548.273337685,12791.3135966617,12110.06547266,12396.161259842,12237.9743535441,11515.0764640659,11618.5343556333,12690.0658158246,15428.0622530455,17937.0842412051,19047.6451140863,20557.7156469473,23949.8420012681,26189.1132071702,22957.3554568456,23433.152702128,25700.805106598,24610.656819612,25513.4645413885,25703.245825993
Ecuador,ECU,1491.4025573628,1623.9895569743,1690.1546674855,1729.3737086967,2028.1982774463,2135.6341186162,2159.150629487,2361.5995204117,2300.4075053044,1584.463443465,1451.2907755099,1903.7418675983,2183.9674646437,2440.4691638575,2708.5582929825,3021.94276733,3350.7841423191,3590.7115134942,4274.9408206207,4255.5555631186,4657.301737458,5223.3775749014,5702.1682878938,6051.6111293869,6345.8407250595
"Egypt, Arab Rep.",EGY,764.7606811311,640.850513525,710.3624067903,774.910867286,846.9980739208,963.5573127743,1063.4334158584,1211.2903076378,1286.7935139004,1351.6140100333,1461.0182594104,1402.759854334,1238.9265575226,1147.7817131685,1071.3233388161,1196.7333085042,1409.1778752298,1681.31448106,2061.6127722526,2349.2868646568,2668.0359882616,2816.6669434778,3226.13137882,3264.4500626753,3365.7074205748
Euro area,EMU,18850.1712991586,19525.496598553,21446.2860325477,19568.0014478474,20613.6410447497,23737.732822405,23969.4269528926,21866.284590835,22423.6222876586,22263.2469907072,20209.6620320881,20445.6100644751,22130.5890206442,27158.5006199237,30979.5772056581,31982.1506224628,33794.478961554,38709.4191922545,42224.9220307662,38479.0658456971,37608.915729751,40431.8655949597,37591.9339032377,38938.4020749642,39639.8123622324
Eritrea,ERI,0,0,150.9520614641,148.4927895566,168.9040979406,182.6796050687,216.554170767,210.5402575161,223.396896565,200.871844206,199.8131951134,205.8460356871,192.507643238,221.5268126892,272.8328325753,262.0745298006,281.3750173483,299.1114518232,306.6651439196,404.1963090455,451.4266932972,544.4624311417,0,0,0
